q1,q2,q3,q4,f1,f2,f3,f4,f5,target
0.51,0.46,-0.55,-0.47,404,437,335,410,762,zero
0.53,0.48,-0.53,-0.45,411,436,337,417,766,zero
0.54,0.51,-0.52,-0.43,414,437,340,417,772,zero
0.55,0.53,-0.49,-0.41,395,418,342,428,775,zero
0.57,0.56,-0.46,-0.39,417,403,337,442,833,zero
0.59,0.58,-0.43,-0.36,414,389,360,476,853,zero
0.6,0.6,-0.41,-0.33,444,377,385,501,838,zero
0.61,0.62,-0.39,-0.3,406,380,405,487,822,zero
0.62,0.63,-0.37,-0.28,542,422,515,523,846,zero
0.64,0.65,-0.34,-0.25,596,430,468,519,825,zero
0.64,0.66,-0.31,-0.22,607,418,558,503,843,zero
0.65,0.67,-0.29,-0.19,477,409,452,517,851,zero
0.66,0.69,-0.27,-0.17,435,388,441,516,803,zero
0.66,0.7,-0.24,-0.14,347,384,418,507,830,zero
0.66,0.71,-0.21,-0.12,350,369,411,515,820,zero
0.67,0.72,-0.18,-0.09,325,353,397,501,814,zero
0.67,0.73,-0.15,-0.07,320,349,391,493,801,zero
0.67,0.73,-0.11,-0.05,338,346,375,480,816,zero
0.67,0.74,-0.07,-0.03,320,348,380,475,767,zero
0.66,0.75,-0.04,0,303,346,368,470,777,zero
0.66,0.75,0,0.02,300,338,360,457,761,zero
0.66,0.75,0.03,0.04,317,339,361,443,741,zero
0.65,0.75,0.07,0.05,289,343,360,438,756,zero
0.65,0.75,0.1,0.07,300,336,350,430,748,zero
0.65,0.74,0.15,0.09,276,340,354,421,766,zero
0.64,0.74,0.17,0.11,278,347,354,423,770,zero
0.64,0.73,0.2,0.13,302,338,352,421,761,zero
0.64,0.73,0.22,0.14,281,341,351,417,775,zero
0.64,0.72,0.23,0.14,284,357,345,414,770,zero
0.64,0.71,0.25,0.15,315,360,347,424,761,zero
0.64,0.71,0.26,0.15,292,362,360,419,762,zero
0.64,0.7,0.27,0.14,292,360,358,426,790,zero
0.65,0.7,0.28,0.14,289,360,355,429,793,zero
0.65,0.69,0.29,0.14,279,378,377,442,801,zero
0.66,0.67,0.3,0.15,298,417,444,491,819,zero
0.65,0.66,0.33,0.17,254,457,525,596,827,zero
0.65,0.64,0.37,0.19,218,446,521,628,817,zero
0.63,0.62,0.41,0.22,218,419,494,602,804,zero
0.63,0.59,0.45,0.24,201,403,461,580,787,zero
0.62,0.57,0.47,0.26,201,383,421,550,800,zero
0.62,0.55,0.49,0.28,220,376,405,535,779,zero
0.61,0.54,0.5,0.29,219,368,394,528,788,zero
0.61,0.53,0.5,0.3,218,364,384,514,735,zero
0.62,0.53,0.5,0.3,215,361,392,503,751,zero
0.62,0.53,0.5,0.3,215,356,381,493,748,zero
0.62,0.53,0.49,0.3,211,360,382,494,761,zero
0.62,0.53,0.48,0.3,213,355,372,485,758,zero
0.63,0.54,0.48,0.3,209,357,382,475,756,zero
0.63,0.55,0.46,0.29,220,354,375,479,766,zero
0.64,0.56,0.45,0.28,217,355,368,479,769,zero
0.65,0.57,0.43,0.25,225,360,374,494,804,zero
0.67,0.58,0.39,0.22,223,361,362,500,795,zero
0.69,0.59,0.36,0.2,231,364,362,478,809,zero
0.69,0.59,0.37,0.2,225,361,367,462,798,zero
0.69,0.58,0.39,0.2,210,359,370,479,806,zero
0.69,0.57,0.39,0.19,214,354,361,484,808,zero
0.7,0.57,0.39,0.19,231,353,370,484,812,zero
0.7,0.57,0.4,0.18,220,354,371,483,809,zero
0.7,0.56,0.4,0.19,253,356,378,491,827,zero
0.71,0.56,0.39,0.18,265,354,377,482,841,zero
0.71,0.56,0.39,0.18,264,350,374,470,824,zero
0.71,0.56,0.38,0.18,290,352,374,470,850,zero
0.71,0.56,0.38,0.18,335,355,377,491,838,zero
0.72,0.56,0.37,0.18,391,368,382,488,861,zero
0.71,0.57,0.37,0.18,409,368,377,493,879,zero
0.72,0.57,0.37,0.18,511,359,368,505,909,zero
0.72,0.56,0.36,0.18,641,355,355,497,896,zero
0.73,0.56,0.35,0.17,590,341,340,498,908,zero
0.73,0.57,0.35,0.17,507,326,332,485,893,zero
0.72,0.58,0.34,0.17,497,332,342,474,883,zero
0.72,0.58,0.33,0.17,477,330,337,475,864,zero
0.72,0.59,0.32,0.16,529,322,321,458,872,zero
0.72,0.59,0.32,0.16,521,322,317,455,866,zero
0.73,0.59,0.31,0.16,560,319,311,452,858,zero
0.73,0.59,0.3,0.15,579,314,302,455,856,zero
0.74,0.59,0.3,0.14,572,315,307,457,850,zero
0.74,0.59,0.29,0.13,571,322,310,465,848,zero
0.73,0.6,0.29,0.13,557,332,321,461,854,zero
0.73,0.61,0.29,0.13,555,333,321,457,864,zero
0.72,0.61,0.29,0.13,555,336,335,456,862,zero
0.71,0.61,0.31,0.15,548,348,334,461,867,zero
0.71,0.6,0.34,0.17,539,353,324,452,856,zero
0.7,0.57,0.38,0.2,511,352,327,435,843,zero
0.69,0.55,0.42,0.23,514,356,315,426,859,zero
0.67,0.53,0.45,0.25,535,349,315,424,856,zero
0.67,0.51,0.47,0.27,461,354,302,433,841,zero
0.66,0.49,0.49,0.28,493,363,297,428,833,zero
0.64,0.47,0.52,0.31,479,367,294,424,827,zero
0.62,0.45,0.56,0.32,458,375,294,424,841,zero
0.6,0.42,0.59,0.35,456,377,298,415,830,zero
0.57,0.39,0.62,0.36,442,378,297,412,835,zero
0.55,0.37,0.64,0.37,445,377,297,405,861,zero
0.54,0.35,0.66,0.39,421,383,311,412,835,zero
0.51,0.33,0.68,0.4,419,387,312,412,825,zero
0.49,0.32,0.7,0.41,411,400,322,411,827,zero
0.46,0.3,0.72,0.42,411,397,330,417,879,zero
0.44,0.28,0.74,0.42,429,397,347,420,866,zero
0.42,0.28,0.76,0.42,452,392,368,435,904,zero
0.4,0.27,0.77,0.42,436,397,397,446,940,zero
0.39,0.27,0.77,0.43,415,396,404,451,962,zero
0.39,0.27,0.77,0.43,422,401,392,435,979,zero
0.38,0.27,0.78,0.43,432,416,417,430,967,zero
0.37,0.26,0.78,0.43,420,408,422,424,982,zero
0.37,0.26,0.79,0.43,422,414,428,432,969,zero
0.36,0.25,0.79,0.43,421,416,425,414,953,zero
0.36,0.24,0.79,0.43,419,418,414,419,985,zero
0.36,0.23,0.79,0.44,367,401,421,411,985,zero
0.36,0.22,0.79,0.43,378,394,421,411,980,zero
0.36,0.22,0.8,0.43,384,418,415,402,998,zero
0.36,0.21,0.8,0.44,383,388,410,402,1003,zero
0.36,0.2,0.8,0.44,377,387,411,385,995,zero
0.36,0.2,0.8,0.43,380,381,418,391,1008,zero
0.36,0.2,0.8,0.43,397,381,422,400,1011,zero
0.36,0.2,0.8,0.43,425,380,421,389,995,zero
0.34,0.2,0.8,0.45,420,377,432,393,974,zero
0.34,0.2,0.79,0.46,428,377,427,388,975,zero
0.34,0.2,0.79,0.47,411,375,420,382,982,zero
0.34,0.19,0.79,0.47,409,374,415,380,979,zero
0.35,0.19,0.79,0.47,421,376,412,384,972,zero
0.35,0.2,0.79,0.46,407,373,405,382,956,zero
0.33,0.2,0.8,0.46,369,363,415,397,974,zero
0.33,0.2,0.81,0.45,365,360,410,394,962,zero
0.33,0.19,0.81,0.45,352,359,417,400,987,zero
